DATE_m,temp_celsius
197712,-3.799283154121864
197801,-5.806451612903227
197802,-11.38888888888889
197803,-2.616487455197133
197804,2.1666666666666656
197805,10.663082437275987
197806,14.666666666666666
197807,15.125448028673835
197808,13.548387096774196
197809,8.38888888888889
197810,3.960573476702511
197811,2.000000000000001
197812,-12.759856630824373
197901,-8.655913978494624
197902,-9.88095238095238
197903,-1.9892473118279577
197904,1.685185185185184
197905,10.555555555555555
197906,16.01851851851852
197907,14.838709677419356
197908,16.093189964157705
197909,9.574074074074074
197910,3.9068100358422932
197911,1.3888888888888888
197912,-3.817204301075269
198001,-8.835125448028673
198002,-8.275862068965518
198003,-6.164874551971327
198004,4.777777777777779
198005,7.1505376344086
198006,16.814814814814813
198007,16.72043010752688
198008,14.784946236559138
198009,10.814814814814815
198010,5.232974910394266
